Skill,Skill_Lower,Alternative,Count
SQL,sql,,
Hadoop,hadoop,,
Python,python,,
Machine Learning,machine learning,ML,
Spark,spark,,
R,r,,
C,c,C++,
NoSQL,nosql,,
Hive,hive,,
SAS,sas,,
MapReduce,mapreduce,,
Java,java,,
Pig,pig,,
D3,d3,,
Data Structures,data structures,,
Algorithms,algorithms,,
ggplot,ggplot,,
AWS,aws,,
Azure,azure,,
Statistics,statistics,Statistical,
Unstructured,unstructured,,
NLP,nlp,Natural Language Processing,
Distributed computing,distributed computing,,
Matlab,matlab,,
Data mining,data mining,,
Big Data,big data,,
Regression,regression,,
TensorFlow,tensorflow,,
Deep Learning,deep learning,,
Visualization,visualization,,
Excel,excel,,
Communication,communication,communicate,
.Net,.net,,
Business Intelligence,business intelligence,BI,
MySQL,mysql,,
LaTex,latex,,
Unix,unix,,
Linux,linux,,
Artifical Intelligence,artifical intelligence,,
Time Series,time series,,
Optimization,optimization,,
Classification,classification,,
Clustering,clustering,,
Unsupervised,unsupervised,,
Supervised,supervised,,
ETL,etl,,
Tableau,tableau,,
Microsoft Office,microsoft office,,
Story,story,,
OLAP,olap,,
Problem Solving,problem solving,,
Hbase,hbase,,
Perl,perl,,
Amazon S3,amazon s3,,
Scala,scala,,
MongoDB,mongodb,,
